t [s],az NO FLAT [m/s2],az WITH FLAT [m/s2]
    5.828000,   -9.809980,   -9.809980
    5.829000,   -9.809980,   -9.809980
    5.830000,   -9.809980,   -9.809980
    5.831000,   -9.809980,   -9.809980
    5.832000,   -9.809980,   -9.809980
    5.833000,   -9.809980,   -9.809980
    5.834000,   -9.809980,   -9.809980
    5.835000,   -9.809980,   -9.809980
    5.836000,   -9.809980,   -9.809980
    5.837000,   -9.809980,   -9.809980
    5.838000,   -9.809990,   -9.809990
    5.839000,   -9.809980,   -9.809980
    5.840000,   -9.809990,   -9.809990
    5.841000,   -9.809980,   -9.809980
    5.842000,   -9.809990,   -9.809990
    5.843000,   -9.809970,   -9.809970
    5.844000,   -9.809980,   -9.809980
    5.845000,   -9.809990,   -9.809990
    5.846000,   -9.809980,   -9.809980
    5.847000,   -9.809980,   -9.809980
    5.848000,   -9.809980,   -9.809980
    5.849000,   -9.809980,   -9.809980
    5.850000,   -9.809980,   92.046800
    5.851000,   -9.810070,  -20.388600
    5.852000,   -9.810490,   -5.464120
    5.853000,   -9.810950,  -15.002800
    5.854000,   -9.811430,   -9.478070
    5.855000,   -9.811960,  -10.328300
    5.856000,   -9.812600,   -9.918860
    5.857000,   -9.813170,   -9.881950
    5.858000,   -9.813800,   -9.934020
    5.859000,   -9.814430,   -9.980420
    5.860000,   -9.815050,   -9.996420
    5.861000,   -9.815670,   -9.990770
    5.862000,   -9.816260,   -9.964700
    5.863000,   -9.816830,   -9.920390
    5.864000,   -9.817360,   -9.866800
    5.865000,   -9.817860,   -9.811660
    5.866000,   -9.818320,   -9.760090
    5.867000,   -9.818780,   -9.718160
    5.868000,   -9.819160,   -9.690160
    5.869000,   -9.819520,   -9.678100
    5.870000,   -9.819850,   -9.681070
    5.871000,   -9.820190,   -9.696910
    5.872000,   -9.820490,   -9.722050
    5.873000,   -9.820880,   -9.753730
    5.874000,   -9.821190,   -9.787820
    5.875000,   -9.821590,   -9.820830
    5.876000,   -9.821930,   -9.849660
    5.877000,   -9.822350,   -9.873150
    5.878000,   -9.822690,   -9.889260
    5.879000,   -9.823130,   -9.897980
    5.880000,   -9.823450,   -9.900170
    5.881000,   -9.823910,   -9.895590
    5.882000,   -9.824180,   -9.884820
    5.883000,   -9.824690,   -9.871120
    5.884000,   -9.824840,   -9.855380
    5.885000,   -9.822630,   -9.836120
    5.886000,   -9.823650,   -9.818250
    5.887000,   -9.824440,   -9.804440
    5.888000,   -9.825000,   -9.789310
    5.889000,   -9.825510,   -9.785360
    5.890000,   -9.828280,   -9.781800
    5.891000,   -9.828690,   -9.775660
    5.892000,   -9.825750,   -9.786970
    5.893000,   -9.826350,   -9.793960
    5.894000,   -9.826880,   -9.807150
    5.895000,   -9.827260,   -9.816060
    5.896000,   -9.827630,   -9.827260
    5.897000,   -9.830560,   -9.834110
    5.898000,   -9.830810,   -9.838490
    5.899000,   -9.827550,   -9.847750
    5.900000,   -9.827970,   -9.846000
    5.901000,   -9.828490,   -9.859210
