t [s],az NO FLAT [m/s2],az WITH FLAT [m/s2]
    0.158000,   -9.799131,   -9.799131
    0.159000,   -9.804496,   -9.804496
    0.160000,   -9.811722,   -9.811722
    0.161000,   -9.813025,   -9.813025
    0.162000,   -9.825509,   -9.825509
    0.163000,   -9.824536,   -9.824536
    0.164000,   -9.828476,   -9.828476
    0.165000,   -9.834159,   -9.834159
    0.166000,   -9.840131,   -9.840131
    0.167000,   -9.845810,   -9.845810
    0.168000,   -9.851183,   -9.851183
    0.169000,   -9.856125,   -9.856125
    0.170000,   -9.860760,   -9.860760
    0.171000,   -9.865214,   -9.865214
    0.172000,   -9.869576,   -9.869576
    0.173000,   -9.873839,   -9.873839
    0.174000,   -9.878133,   -9.878133
    0.175000,   -9.882471,   -9.882471
    0.176000,   -9.886826,   -9.886826
    0.177000,   -9.891161,   -9.891161
    0.178000,   -9.895453,   -9.895453
    0.179000,   -9.899618,   -9.899618
    0.180000,   -9.903399,   -9.903399
    0.181000,   -9.902533,   -9.902533
    0.182000,   -9.595739,   -9.595739
    0.183000,   -9.897681,   -9.897681
    0.184000,   -9.941559,   -9.941559
    0.185000,   -9.833405,   -9.833405
    0.186000,   -9.841908,   -9.841908
    0.187000,   -9.821748,   -9.821748
    0.188000,   -9.769422,   -9.769422
    0.189000,   -9.698505,   -9.698505
    0.190000,   -9.653275,   -9.653275
    0.191000,   -9.650936,   -9.650936
    0.192000,   -9.668642,   -9.668642
    0.193000,   -9.671762,   -9.671762
    0.194000,   -9.681102,   -9.681102
    0.195000,   -9.699884,   -9.699884
    0.196000,   -9.720674,   -9.720674
    0.197000,   -9.739770,   -9.739770
    0.198000,   -9.754220,   -9.754220
    0.199000,   -9.766247,   -9.766247
    0.200000,   -9.777194,   -9.777194
    0.201000,   -9.786209,   -9.786209
    0.202000,   -9.791558,   -9.791558
    0.203000,   -9.794060,   -9.794060
    0.204000,   -9.794747,   -9.794747
    0.205000,   -9.798559,   -9.798559
    0.206000,   -9.806609,   -9.806609
    0.207000,   -9.801374,   -9.801374
    0.208000,   -9.804578,   -9.804578
    0.209000,   -9.803439,   -9.803439
    0.210000,   -9.814793,   -9.814793
    0.211000,   -9.810406,   -9.810406
    0.212000,   -9.835536,   -9.835536
    0.213000,   -9.812604,   -9.812604
    0.214000,   -9.877007,   -9.877007
    0.215000,   -9.780807,   -9.780807
    0.216000,   -9.805511,   -9.805511
    0.217000,   -9.876509,   -9.876509
    0.218000,   -9.898765,   -9.898765
    0.219000,   -9.910093,   -9.910093
    0.220000,   -9.914497,   -9.914497
    0.221000,   -9.915482,   -9.915482
    0.222000,   -9.912700,   -9.912700
    0.223000,   -9.907986,   -9.907986
    0.224000,   -9.902537,   -9.902537
    0.225000,   -9.897659,   -9.897659
    0.226000,   -9.894114,   -9.894114
    0.227000,   -9.892508,   -9.892508
    0.228000,   -9.893559,   -9.893559
    0.229000,   -9.896896,   -9.896896
    0.230000,   -9.902636,   -9.902636
    0.231000,   -9.908859,   -9.908859
    0.232000,   -9.918782,   -9.918782
    0.233000,   -9.924599,   -9.924599
    0.234000,   -9.928899,   -9.928899
    0.235000,   -9.932885,   -9.932885
    0.236000,   -9.936075,   -9.936075
    0.237000,   -9.941525,   -9.941525
    0.238000,   -9.939991,   -9.939991
    0.239000,   -9.927806,   -9.927806
    0.240000,   -9.944811,   -9.944811
    0.241000,   -9.933139,   -9.933139
    0.242000,   -9.960533,   -9.960533
    0.243000,   -9.972711,   -9.972711
    0.244000,   -9.962116,   -9.962116
    0.245000,   -9.953812,   -9.953812
    0.246000,   -9.948174,   -9.948174
    0.247000,   -9.944261,   -9.944261
    0.248000,   -9.941821,   -9.941821
    0.249000,   -9.940365,   -9.940365
    0.250000,   -9.939890,   -9.939890
    0.251000,   -9.940639,   -9.940639
    0.252000,   -9.942372,   -9.942372
    0.253000,   -9.944669,   -9.944669
    0.254000,   -9.947200,   -9.947200
    0.255000,   -9.949645,   -9.949645
    0.256000,   -9.951151,   -9.951151
    0.257000,   -9.951982,   -9.951982
    0.258000,   -9.952101,   -9.952101
    0.259000,   -9.951361,   -9.951361
    0.260000,   -9.949847,   -9.949847
    0.261000,   -9.947724,   -9.947724
    0.262000,   -9.945072,   -9.945072
    0.263000,   -9.942023,   -9.942023
    0.264000,   -9.939009,   -9.939009
    0.265000,   -9.936056,   -9.936056
    0.266000,   -9.933257,   -9.933257
    0.267000,   -9.930606,   -9.930606
    0.268000,   -9.928149,   -9.928149
    0.269000,   -9.925873,   -9.925873
    0.270000,   -9.923729,   -9.923729
    0.271000,   -9.921642,   -9.921642
    0.272000,   -9.919529,   -9.919529
    0.273000,   -9.917305,   -9.917305
    0.274000,   -9.914901,   -9.914901
    0.275000,   -9.912225,   -9.912225
    0.276000,   -9.909532,   -9.909532
    0.277000,   -9.906790,   -9.906790
    0.278000,   -9.903667,   -9.903667
    0.279000,   -9.900022,   -9.900022
    0.280000,   -9.896632,   -9.896632
    0.281000,   -9.893369,   -9.893369
    0.282000,   -9.889738,   -9.889738
    0.283000,   -9.885604,   -9.885604
    0.284000,   -9.881651,   -9.881651
    0.285000,   -9.878559,   -9.878559
    0.286000,   -9.875226,   -9.875226
    0.287000,   -9.870900,   -9.870900
    0.288000,   -9.866995,   -9.866995
    0.289000,   -9.864208,   -9.864208
    0.290000,   -9.860429,   -9.860429
    0.291000,   -9.854441,   -9.854441
    0.292000,   -9.849587,   -9.849587
    0.293000,   -9.847697,   -9.847697
    0.294000,   -9.844589,   -9.844589
    0.295000,   -9.839678,   -9.839678
    0.296000,   -9.834971,   -9.834971
    0.297000,   -9.830626,   -9.830626
    0.298000,   -9.826027,   -9.826027
    0.299000,   -9.821186,   -9.821186
    0.300000,   -9.816577,   -9.816577
    0.301000,   -9.811884,   -9.811884
    0.302000,   -9.807472,   -9.807472
    0.303000,   -9.802857,   -9.802857
    0.304000,   -9.798346,   -9.798346
    0.305000,   -9.793807,   -9.793807
    0.306000,   -9.789089,   -9.789089
    0.307000,   -9.784621,   -9.784621
    0.308000,   -9.780196,   -9.780196
    0.309000,   -9.775679,   -9.775679
    0.310000,   -9.771241,   -9.771241
    0.311000,   -9.766771,   -9.766771
    0.312000,   -9.762200,   -9.762200
    0.313000,   -9.757868,   -9.757868
    0.314000,   -9.753986,   -9.753986
    0.315000,   -9.750020,   -9.750020
    0.316000,   -9.745516,   -9.745516
    0.317000,   -9.741252,   -9.741252
    0.318000,   -9.737808,   -9.737808
    0.319000,   -9.734518,   -9.734518
    0.320000,   -9.730916,   -9.730916
    0.321000,   -9.727107,   -9.727107
    0.322000,   -9.724047,   -9.724047
    0.323000,   -9.721358,   -9.721358
    0.324000,   -9.718580,   -9.718580
    0.325000,   -9.715706,   -9.715706
    0.326000,   -9.712983,   -9.712983
    0.327000,   -9.710704,   -9.710704
    0.328000,   -9.708718,   -9.708718
    0.329000,   -9.706843,   -9.706843
    0.330000,   -9.705123,   -9.705123
    0.331000,   -9.703526,   -9.703526
    0.332000,   -9.702098,   -9.702098
    0.333000,   -9.700867,   -9.700867
    0.334000,   -9.699780,   -9.699780
    0.335000,   -9.698847,   -9.698847
    0.336000,   -9.698093,   -9.698093
    0.337000,   -9.697584,   -9.697584
    0.338000,   -9.697351,   -9.697351
    0.339000,   -9.697499,   -9.697499
    0.340000,   -9.698027,   -9.698027
    0.341000,   -9.698766,   -9.698766
    0.342000,   -9.699801,   -9.699801
    0.343000,   -9.700946,   -9.700946
    0.344000,   -9.702338,   -9.702338
    0.345000,   -9.704001,   -9.704001
    0.346000,   -9.705893,   -9.705893
    0.347000,   -9.707925,   -9.707925
    0.348000,   -9.710101,   -9.710101
    0.349000,   -9.712381,   -9.712381
    0.350000,   -9.715037,   -9.715037
    0.351000,   -9.717636,   -9.717636
    0.352000,   -9.720106,   -9.720106
    0.353000,   -9.724366,   -9.724366
    0.354000,   -9.727145,   -9.727145
    0.355000,   -9.731090,   -9.731090
    0.356000,   -9.732557,   -9.732557
    0.357000,   -9.738002,   -9.738002
    0.358000,   -9.737271,   -9.737271
    0.359000,   -9.748080,   -9.748080
    0.360000,   -9.755126,   -9.755126
    0.361000,   -9.743205,   -9.743205
    0.362000,   -9.733663,   -9.733663
    0.363000,   -9.739269,   -9.739269
    0.364000,   -9.766956,   -9.766956
    0.365000,   -9.798715,   -9.798715
    0.366000,   -9.793051,   -9.793051
    0.367000,   -9.778856,   -9.778856
    0.368000,   -9.768293,   -9.768293
    0.369000,   -9.768102,   -9.768102
    0.370000,   -9.773431,   -9.773431
    0.371000,   -9.782898,   -9.782898
    0.372000,   -9.795581,   -9.795581
    0.373000,   -9.808635,   -9.808635
    0.374000,   -9.813906,   -9.813906
    0.375000,   -9.805564,   -9.805564
    0.376000,   -9.778822,   -9.778822
    0.377000,   -9.782553,   -9.782553
    0.378000,   -9.768207,   -9.768207
    0.379000,   -9.770932,   -9.770932
    0.380000,   -9.801923,   -9.801923
    0.381000,   -9.821492,   -9.821492
    0.382000,   -9.831392,   -9.831392
    0.383000,   -9.835817,   -9.835817
    0.384000,   -9.835601,   -9.835601
    0.385000,   -9.832468,   -9.832468
    0.386000,   -9.829124,   -9.829124
    0.387000,   -9.826664,   -9.826664
    0.388000,   -9.826495,   -9.826495
    0.389000,   -9.827389,   -9.827389
    0.390000,   -9.829664,   -9.829664
    0.391000,   -9.832834,   -9.832834
    0.392000,   -9.836384,   -9.836384
    0.393000,   -9.839362,   -9.839362
    0.394000,   -9.843767,   -9.843767
    0.395000,   -9.844343,   -9.844343
    0.396000,   -9.844697,   -9.844697
    0.397000,   -9.845181,   -9.845181
    0.398000,   -9.846450,   -9.846450
    0.399000,   -9.846573,   -9.846573
    0.400000,   -9.849895,   -9.849895
    0.401000,   -9.856159,   -9.856159
    0.402000,   -9.845833,   -9.845833
    0.403000,   -9.853979,   -9.853979
    0.404000,   -9.835114,   -9.835114
    0.405000,   -9.874015,   -9.874015
    0.406000,   -9.861905,   -9.861905
    0.407000,   -9.840383,   -9.840383
    0.408000,   -9.840287,   -9.840287
    0.409000,   -9.841623,   -9.841623
    0.410000,   -9.843960,   -9.843960
    0.411000,   -9.847077,   -9.847077
    0.412000,   -9.850145,   -9.850145
    0.413000,   -9.852557,   -9.852557
    0.414000,   -9.854200,   -9.854200
    0.415000,   -9.855034,   -9.855034
    0.416000,   -9.854716,   -9.854716
    0.417000,   -9.853439,   -9.853439
    0.418000,   -9.851842,   -9.851842
    0.419000,   -9.850169,   -9.850169
    0.420000,   -9.848147,   -9.848147
    0.421000,   -9.846096,   -9.846096
    0.422000,   -9.844543,   -9.844543
    0.423000,   -9.843042,   -9.843042
    0.424000,   -9.842531,   -9.842531
    0.425000,   -9.844025,   -9.844025
    0.426000,   -9.840510,   -9.840510
    0.427000,   -9.839304,   -9.839304
    0.428000,   -9.837107,   -9.837107
    0.429000,   -9.834471,   -9.834471
    0.430000,   -9.835227,   -9.835227
    0.431000,   -9.835022,   -9.835022
    0.432000,   -9.837956,   -9.837956
    0.433000,   -9.832402,   -9.832402
    0.434000,   -9.816720,   -9.816720
    0.435000,   -9.838706,   -9.838706
    0.436000,   -9.824921,   -9.824921
    0.437000,   -9.860164,   -9.860164
    0.438000,   -9.856922,   -9.856922
    0.439000,   -9.834053,   -9.834053
    0.440000,   -9.824897,   -9.824897
    0.441000,   -9.818573,   -9.818573
    0.442000,   -9.814388,   -9.814388
    0.443000,   -9.811543,   -9.811543
    0.444000,   -9.810162,   -9.810162
    0.445000,   -9.809977,   -9.809977
    0.446000,   -9.810577,   -9.810577
    0.447000,   -9.811713,   -9.811713
    0.448000,   -9.813124,   -9.813124
    0.449000,   -9.814348,   -9.814348
    0.450000,   -9.815141,   -9.815141
    0.451000,   -9.815413,   -9.815413
    0.452000,   -9.815154,   -9.815154
    0.453000,   -9.814417,   -9.814417
    0.454000,   -9.813082,   -9.813082
    0.455000,   -9.811181,   -9.811181
    0.456000,   -9.809024,   -9.809024
    0.457000,   -9.806963,   -9.806963
    0.458000,   -9.805057,   -9.805057
    0.459000,   -9.803253,   -9.803253
    0.460000,   -9.801551,   -9.801551
    0.461000,   -9.800058,   -9.800058
